account_id,account_type,snapshot_date,employee_count,industry,intent_score,mql_count_90d,trial_started,trial_active_users,web_touchpoints_90d,sales_contacts_90d,probability,tier,track,needs_review,quality_flags,reason_codes,draft_outreach
ACC-01491,Prospect,2025-10-15,188,Retail,33.2,1,1,3,0,5,0.20939284337910957,Hot,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); is a larger company by headcount (188 employees vs. a typical 61); has not visited the website recently,"This account has had more contact with sales than typical (5 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account is a larger company by headcount (188 employees vs. a typical 61). Since they're in Retail, open with a relevant use case for that industry rather than a generic intro."
ACC-00371,Former Customer,2025-11-18,22,Financial Services,63.9,4,1,2,8,2,0.20447911195127128,Hot,AM_WinBack,False,,has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 64 vs. a typical 29); has had more contact with sales than typical (2 touches in 90 days vs. a typical 1),"This account is a former customer and has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2), which makes it worth a win-back call. Additionally, this account shows strong buying intent (score 64 vs. a typical 29). Since they're in Financial Services, open with a relevant use case for that industry rather than a generic intro."
ACC-01064,Prospect,2026-04-29,57,Retail,61.7,1,1,1,0,5,0.18692811910966464,Hot,SDR_Outbound,False,,has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); shows strong buying intent (score 62 vs. a typical 29); has not visited the website recently,"This account has had more contact with sales than typical (5 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account shows strong buying intent (score 62 vs. a typical 29). Since they're in Retail, open with a relevant use case for that industry rather than a generic intro."
ACC-01283,Suspect,2026-04-01,50,Retail,61.2,0,0,0,3,4,0.1756819094801484,Hot,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); shows strong buying intent (score 61 vs. a typical 29); has been more active on the website than usual (3 visits in the last 90 days vs. a typical 2),"This account has had more contact with sales than typical (4 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account shows strong buying intent (score 61 vs. a typical 29). Since they're in Retail, open with a relevant use case for that industry rather than a generic intro."
ACC-01111,Suspect,2026-04-14,44,Manufacturing,58.3,0,1,2,4,3,0.15271838779534938,Hot,SDR_Outbound,False,,has had more contact with sales than typical (3 touches in 90 days vs. a typical 1); shows strong buying intent (score 58 vs. a typical 29); has been more active on the website than usual (4 visits in the last 90 days vs. a typical 2),"This account has had more contact with sales than typical (3 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account shows strong buying intent (score 58 vs. a typical 29). Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
ACC-00400,Suspect,2026-05-07,109,Software,24.2,1,0,0,0,4,0.1521825408659366,Hot,SDR_Outbound,False,,has had more contact with sales than typical (4 touches in 90 days vs. a typical 1); has not visited the website recently; is a larger company by headcount (109 employees vs. a typical 61),"This account has had more contact with sales than typical (4 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account has not visited the website recently. Since they're in Software, open with a relevant use case for that industry rather than a generic intro."
ACC-00122,Prospect,2026-06-24,698,Manufacturing,,0,0,0,5,6,0.14821040002222632,Hot,SDR_Outbound,False,intent_score missing (model-imputed),is a larger company by headcount (698 employees vs. a typical 61); has had more contact with sales than typical (6 touches in 90 days vs. a typical 1); has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2),"This account is a larger company by headcount (698 employees vs. a typical 61), making it a strong outbound candidate right now. Additionally, this account has had more contact with sales than typical (6 touches in 90 days vs. a typical 1). Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
ACC-00646,Prospect,2025-11-02,637,Manufacturing,,2,0,0,3,6,0.14821040002222632,Hot,SDR_Outbound,False,intent_score missing (model-imputed),is a larger company by headcount (637 employees vs. a typical 61); has had more contact with sales than typical (6 touches in 90 days vs. a typical 1); has been more active on the website than usual (3 visits in the last 90 days vs. a typical 2),"This account is a larger company by headcount (637 employees vs. a typical 61), making it a strong outbound candidate right now. Additionally, this account has had more contact with sales than typical (6 touches in 90 days vs. a typical 1). Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
ACC-00657,Prospect,2025-09-30,562,Financial Services,24.2,4,0,0,8,0,0.14383239787817576,Hot,SDR_Outbound,False,,is a larger company by headcount (562 employees vs. a typical 61); has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); has had no sales contact yet in the last 90 days,"This account is a larger company by headcount (562 employees vs. a typical 61), making it a strong outbound candidate right now. Additionally, this account has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2). Since they're in Financial Services, open with a relevant use case for that industry rather than a generic intro."
ACC-00232,Prospect,2026-06-03,301,Retail,23.6,1,1,3,0,1,0.1408302146932598,Hot,SDR_Outbound,False,,is a larger company by headcount (301 employees vs. a typical 61); has not visited the website recently; shows below-average buying intent (score 24 vs. a typical 29),"This account is a larger company by headcount (301 employees vs. a typical 61), making it a strong outbound candidate right now. Additionally, this account has not visited the website recently. Since they're in Retail, open with a relevant use case for that industry rather than a generic intro."
ACC-00065,Suspect,2025-11-14,42,Healthcare,8.1,0,1,0,13,1,0.13663723152019597,Hot,SDR_Outbound,False,,has been more active on the website than usual (13 visits in the last 90 days vs. a typical 2); shows below-average buying intent (score 8 vs. a typical 29); has generated no marketing-qualified leads in the last 90 days,"This account has been more active on the website than usual (13 visits in the last 90 days vs. a typical 2), making it a strong outbound candidate right now. Additionally, this account shows below-average buying intent (score 8 vs. a typical 29). Since they're in Healthcare, open with a relevant use case for that industry rather than a generic intro."
ACC-00966,Prospect,2026-01-06,74,Retail,51.6,4,0,0,8,0,0.13351038899325313,Hot,SDR_Outbound,False,,has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 52 vs. a typical 29); has had no sales contact yet in the last 90 days,"This account has been more active on the website than usual (8 visits in the last 90 days vs. a typical 2), making it a strong outbound candidate right now. Additionally, this account shows strong buying intent (score 52 vs. a typical 29). Since they're in Retail, open with a relevant use case for that industry rather than a generic intro."
ACC-00205,Suspect,2025-06-08,243,Retail,63.3,2,0,0,5,1,0.12890521444477065,Hot,SDR_Outbound,True,stale snapshot (419d old),is a larger company by headcount (243 employees vs. a typical 61); shows strong buying intent (score 63 vs. a typical 29); has been more active on the website than usual (5 visits in the last 90 days vs. a typical 2),
ACC-00265,Suspect,2026-04-30,133,Professional Services,,0,1,0,0,5,0.1221454673454665,Hot,SDR_Outbound,False,intent_score missing (model-imputed),has had more contact with sales than typical (5 touches in 90 days vs. a typical 1); has not visited the website recently; is a larger company by headcount (133 employees vs. a typical 61),"This account has had more contact with sales than typical (5 touches in 90 days vs. a typical 1), making it a strong outbound candidate right now. Additionally, this account has not visited the website recently. Since they're in Professional Services, open with a relevant use case for that industry rather than a generic intro."
ACC-00533,Prospect,2026-07-19,65,Manufacturing,63.0,1,0,0,7,0,0.1219406610049066,Hot,SDR_Outbound,False,,has been more active on the website than usual (7 visits in the last 90 days vs. a typical 2); shows strong buying intent (score 63 vs. a typical 29); has had no sales contact yet in the last 90 days,"This account has been more active on the website than usual (7 visits in the last 90 days vs. a typical 2), making it a strong outbound candidate right now. Additionally, this account shows strong buying intent (score 63 vs. a typical 29). Since they're in Manufacturing, open with a relevant use case for that industry rather than a generic intro."
